siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
O4661XR5230B	PT	120.163	121.190	118.109	124.272	138.650	167.211	178.099	165.265	85.862	113.242	138.400	159.662
O4661XR5230B	RO	39.365	44.575	23.225	31.670	26.947	48.396	54.420	62.919	37.552	45.215	69.309	38.068
O4661XR5230B	SE	178.118	179.217	178.712	176.831	188.532	186.969	176.646	158.904	60.875	69.018	104.897	96.321
O4661XR5230B	SI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4661XR5230B	SK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4671XR5220B	AT	5178.887	5628.085	5544.058	5667.552	5938.143	6111.428	6172.298	6209.397	5491.700	5695.664	5324.162	4988.955
O4671XR5220B	BE	6784.706	6635.021	6642.718	7079.995	6878.573	6694.013	6558.128	6280.811	5289.477	5650.971	5479.034	5432.955
O4671XR5220B	BG	1612.468	1387.167	1584.179	1814.531	1848.882	1875.804	2012.896	2134.916	2001.035	2172.217	2119.874	2179.002
O4671XR5220B	CY	278.425	235.640	229.013	247.188	274.747	299.366	312.014	323.392	289.907	312.010	299.093	314.698
O4671XR5220B	CZ	3537.766	3584.271	3757.143	3980.648	4156.368	4333.060	4393.177	4447.755	4173.360	4556.431	4647.696	4711.340
O4671XR5220B	DE	29832.286	31182.711	32175.295	32943.915	34277.950	34800.538	33506.402	33965.932	30618.749	29966.107	29679.325	28140.672
O4671XR5220B	DK	2390.580	2364.063	2414.692	2507.128	2566.780	2623.062	2699.220	2605.238	2427.056	2449.827	2428.172	2404.982
O4671XR5220B	EE	485.963	483.942	482.932	503.138	505.159	517.434	521.490	508.345	502.738	552.154	569.316	571.915
O4671XR5220B	EL	1848.768	2043.107	2155.030	2253.726	2418.558	2415.096	2503.645	2669.844	2452.448	2627.631	2942.781	3048.113
O4671XR5220B	ES	20466.800	20470.909	20624.964	21433.243	21981.681	22352.441	22412.009	22284.657	18500.024	20929.149	21489.531	20305.520
O4671XR5220B	EU27_2020	168651.000	168506.065	171151.557	175386.695	181004.440	184466.253	184065.512	184037.206	161448.697	174254.177	175636.322	170283.841
O4671XR5220B	FI	2428.778	2403.095	2099.742	2109.386	2507.914	2351.958	2425.940	2323.050	2194.887	2037.397	2047.421	1924.033
O4671XR5220B	FR	33103.429	33185.132	33036.384	33468.303	33502.557	33356.695	32315.339	31452.537	26663.531	29762.968	29681.203	27903.530
O4671XR5220B	HR	1155.027	1195.837	1215.191	1309.720	1371.808	1544.684	1482.625	1565.294	1401.530	1498.237	1630.341	1847.829
O4671XR5220B	HU	2138.722	1984.236	2272.141	2559.043	2590.312	2797.291	2994.024	3152.845	2690.728	3067.799	3343.429	3025.788
O4671XR5220B	IE	2224.421	2364.871	2514.932	2727.035	2951.306	2955.000	3083.725	3124.197	2705.544	2887.042	3014.292	3017.864
O4671XR5220B	IT	21910.490	21433.290	22773.316	22089.567	22136.371	20987.313	21607.464	21650.600	17648.984	21672.639	22405.959	22298.563
O4671XR5220B	LT	1025.623	1052.370	1215.934	1313.399	1429.076	1518.956	1627.673	1694.213	1654.271	1650.172	1591.343	1600.465
O4671XR5220B	LU	1786.428	1771.169	1689.466	1569.287	1520.404	1539.206	1636.620	1666.884	1250.252	1300.478	1085.818	1005.751
O4671XR5220B	LV	621.092	642.404	679.954	736.786	752.008	810.883	822.346	831.847	779.899	814.522	815.856	816.232
O4671XR5220B	MT	102.704	103.731	106.812	114.001	112.974	119.317	136.253	144.856	118.376	125.215	152.074	161.259
O4671XR5220B	NL	6548.925	6164.058	5456.234	5556.627	5475.168	5632.571	5621.603	5402.601	4654.101	4585.772	4437.269	4365.095
O4671XR5220B	PL	9715.300	8930.341	9153.728	9817.450	11653.793	13899.604	14257.465	14380.020	13965.032	15118.191	15242.904	14722.484
O4671XR5220B	PT	3792.849	3740.470	3813.390	3875.012	4041.392	4140.631	4177.960	4276.587	3623.834	3876.993	4068.297	4278.116
O4671XR5220B	RO	3582.873	3519.020	3567.670	3676.119	3960.924	4285.444	4446.030	4582.644	4522.440	4809.929	5267.295	5550.939
O4671XR5220B	SE	3429.522	3404.515	3353.218	3491.304	3308.936	3278.213	3098.409	3155.470	3023.193	3052.417	2634.454	2659.437
O4671XR5220B	SI	1297.291	1243.394	1276.882	1275.894	1396.972	1447.308	1436.302	1384.737	1136.958	1289.038	1409.956	1246.763
