siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
G3000	DK	683.328	676.325	683.397	657.959	642.565	687.726	716.107	676.895	666.151	726.624	592.570	616.507
G3000	EE	119.153	146.324	97.786	94.304	106.492	95.453	109.041	99.524	94.704	98.733	63.976	46.984
G3000	EL	508.379	537.041	463.759	431.382	551.182	322.080	320.543	334.430	496.000	507.416	568.665	557.875
G3000	ES	8444.590	9035.669	8754.914	8093.725	8667.763	8786.296	8994.497	9294.368	8842.876	9368.745	7795.335	7619.024
G3000	EU27_2020	75751.011	76787.622	74481.976	73421.209	75730.245	77671.675	77046.669	76504.787	74482.318	82130.823	71440.954	67265.065
G3000	FI	619.407	629.206	601.360	553.009	535.496	591.440	564.073	635.963	634.329	689.889	551.770	502.761
G3000	FR	11709.562	12077.861	11296.399	10859.655	11195.757	10530.952	10760.795	10415.303	9353.722	10386.374	9311.678	8422.937
G3000	GE	:	150.585	161.093	179.344	164.347	193.862	192.984	197.473	207.912	194.851	225.384	:
G3000	HR	389.789	350.838	351.892	340.735	356.965	386.467	382.986	400.609	390.320	371.668	334.215	339.883
G3000	HU	816.660	1273.560	1252.171	1244.755	1287.360	1361.995	1431.298	1399.377	1373.947	1449.355	1271.109	1162.812
G3000	IE	669.286	685.165	762.075	799.195	864.971	912.394	972.501	986.416	1023.967	978.353	898.767	848.865
G3000	IS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	IT	9043.035	8731.019	8546.475	8273.280	8361.930	8870.592	8649.122	8540.577	8081.339	11665.358	10161.756	9678.394
G3000	LT	359.953	310.469	297.764	284.071	287.747	291.706	311.154	303.553	290.216	301.225	266.812	249.551
G3000	LU	303.612	283.328	281.496	277.347	280.856	267.459	278.704	269.520	230.959	252.087	179.008	171.637
G3000	LV	181.513	142.691	119.862	120.593	107.609	107.551	113.772	97.464	96.711	109.428	76.308	81.133
G3000	MD	57.760	52.558	48.904	53.891	53.955	54.001	68.767	58.297	62.575	67.906	57.728	58.001
G3000	ME	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	MK	20.314	24.205	28.633	25.881	32.159	37.360	36.504	35.413	35.898	41.105	35.986	39.311
G3000	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	NL	4767.571	4833.582	4600.405	4840.455	5034.630	5175.905	5079.602	5065.947	4999.984	5121.663	4426.064	4206.015
G3000	NO	275.434	272.902	261.923	258.134	262.090	290.669	284.367	303.420	259.644	294.802	262.479	240.096
G3000	PL	3152.111	3232.360	3198.108	3229.927	3410.741	3684.734	3909.474	3910.441	3857.240	4239.933	3657.954	3662.879
G3000	PT	1121.604	1083.491	1056.793	1098.130	1120.179	1214.113	1247.129	1258.111	1167.215	1314.106	1165.846	1131.000
G3000	RO	2585.361	2386.328	2453.590	2237.296	2084.415	2228.562	2281.556	2172.540	2227.647	2439.859	1789.339	1450.664
G3000	RS	605.525	710.641	388.681	435.063	437.952	541.962	615.179	495.416	374.779	473.949	498.356	489.980
G3000	SE	350.645	280.353	340.069	403.439	289.789	258.710	337.853	339.424	345.140	322.415	263.272	198.084
G3000	SI	416.208	393.594	391.617	402.236	415.477	438.694	457.020	451.952	446.764	477.367	401.869	381.154
G3000	SK	860.404	837.683	818.852	788.672	792.412	854.880	887.514	839.173	821.506	831.552	766.421	726.419
G3000	TR	7996.733	8156.556	8848.431	9034.781	8563.134	10304.077	9673.523	9225.848	9273.272	11005.137	9040.271	8773.200
G3000	UA	5273.581	4361.371	3329.299	2763.091	2481.814	2627.178	2855.721	2721.673	2829.838	:	:	:
G3000	UK	7939.338	8126.698	7787.768	7563.820	7764.298	7978.753	7970.764	7917.348	:	:	:	:
G3000	XK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	AL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	AT	290.553	278.303	275.051	247.678	243.742	250.917	261.237	246.264	235.191	237.490	239.086	229.326
H8000	BA	:	:	0.502	0.525	0.525	0.502	0.525	0.597	0.621	0.621	0.860	:
H8000	BE	508.410	466.380	417.655	408.930	394.913	322.172	350.905	378.224	361.011	366.774	311.940	247.707
H8000	BG	521.114	476.306	479.818	370.044	303.740	198.048	73.806	102.374	110.494	104.461	118.360	123.198
H8000	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	CZ	645.242	598.118	540.556	546.097	558.661	578.589	571.053	576.133	538.991	562.840	530.316	461.538
H8000	DE	4498.185	4528.232	4160.839	4142.304	4273.216	4110.371	4573.039	4280.429	4013.232	4247.086	3964.197	3664.422
H8000	DK	119.399	99.790	66.184	55.037	78.053	77.469	80.903	75.524	83.987	88.621	93.523	93.523
H8000	EE	35.827	32.913	31.814	37.284	37.785	37.021	35.755	33.462	36.973	41.010	42.329	36.810
H8000	EL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	ES	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	EU27_2020	16447.324	16268.155	15368.213	15173.903	15532.468	15383.005	15388.084	15654.607	14639.612	13361.697	12779.639	11480.727
H8000	FI	1503.129	1412.105	1262.850	1265.358	1310.715	1261.250	1272.284	1238.941	1176.101	1262.587	1256.616	1190.695
H8000	FR	1211.822	1204.054	1096.379	1215.583	1415.666	1539.598	1460.323	1612.575	1509.537	1730.406	1858.109	1504.258
H8000	GE	:	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	:
H8000	HR	19.413	17.806	18.072	28.026	36.235	47.581	51.272	67.227	72.206	75.788	82.473	68.334
H8000	HU	307.466	378.619	342.003	353.396	393.475	370.044	344.511	356.000	354.782	390.967	350.554	317.617
H8000	IE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	IS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.796	28.553
H8000	IT	2583.047	2560.189	2629.168	2695.686	2735.645	2873.934	2601.746	2942.360	2687.311	587.024	555.436	561.988
H8000	LT	212.382	206.721	225.494	189.715	188.903	239.109	232.110	221.482	155.608	191.124	94.320	80.825
H8000	LU	11.590	12.249	13.408	0.372	0.501	0.534	0.984	2.748	2.616	1.899	1.747	1.842
H8000	LV	6.186	11.441	21.257	34.633	59.855	78.599	90.325	79.384	70.039	70.158	67.407	60.418
H8000	MD	44.067	50.659	57.729	40.365	45.094	46.766	47.124	48.533	44.067	50.468	47.530	43.780
H8000	ME	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	MK	2.962	3.368	2.842	2.675	1.544	2.171	0.498	0.541	2.067	2.018	0.674	0.482
H8000	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H8000	NL	2127.926	2118.611	2098.261	1752.313	1674.479	1524.044	1437.863	1487.039	1323.353	1406.320	1302.325	1143.666
H8000	NO	59.075	60.875	62.430	64.773	61.147	51.655	51.495	50.783	52.902	72.483	70.435	58.942
H8000	PL	629.335	626.373	566.160	660.887	684.747	721.814	827.543	867.262	855.421	918.529	852.342	732.255
H8000	PT	319.050	325.213	243.288	218.496	187.613	179.303	204.251	222.484	201.536	175.399	134.588	85.087
H8000	RO	278.685	258.670	263.686	270.851	274.840	271.311	288.329	242.535	156.469	157.001	160.589	142.177
H8000	RS	247.325	237.461	162.893	189.763	199.651	214.137	212.548	201.109	199.908	198.387	209.053	228.198
H8000	SE	407.041	458.202	445.400	482.206	501.290	516.003	521.066	501.720	580.396	628.714	652.408	646.341
H8000	SI	54.696	51.877	48.557	49.131	50.850	51.373	45.867	51.246	50.801	49.810	48.038	37.372
H8000	SK	156.826	145.983	122.313	149.876	127.544	133.921	62.912	69.194	63.557	67.689	62.936	51.328
H8000	TR	1225.685	1212.525	1156.253	991.115	927.654	1034.220	993.911	1026.813	1089.156	1035.743	939.302	807.164
H8000	UA	4543.900	3951.992	3192.773	2881.007	3130.577	3354.447	3541.726	3509.315	3591.191	:	:	:
H8000	UK	772.428	739.658	626.779	678.406	666.962	709.078	690.837	672.775	:	:	:	:
H8000	XK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4000XBIO	AL	84.551	82.990	148.216	81.231	109.394	157.500	92.482	115.845	105.420	85.373	132.119	102.544
O4000XBIO	AT	651.457	435.672	372.923	380.966	354.124	353.365	333.503	343.835	295.068	318.825	391.520	404.931
O4000XBIO	BA	:	:	78.427	101.166	112.467	136.887	120.390	114.191	110.653	114.913	109.600	:
O4000XBIO	BE	1640.097	1761.615	1799.828	1739.314	1737.152	1434.595	1514.466	1681.016	1717.150	1809.670	1681.381	1527.165
O4000XBIO	BG	206.141	205.581	194.747	180.022	194.514	317.029	404.558	403.493	375.023	396.508	451.347	372.074
O4000XBIO	CY	126.721	139.413	165.693	143.033	143.247	141.758	112.015	104.762	107.910	72.180	79.984	84.121
O4000XBIO	CZ	309.251	209.859	300.697	305.774	146.109	128.157	157.320	141.880	187.903	215.153	213.869	208.824
O4000XBIO	DE	3212.266	3021.642	2793.781	2980.134	2361.763	2075.090	3336.007	3287.384	3443.746	3540.651	3721.130	3782.183
O4000XBIO	DK	481.363	409.998	391.165	390.136	423.044	438.659	406.921	425.649	448.618	498.428	564.403	447.582
O4000XBIO	EE	69.252	65.208	62.027	69.178	77.383	55.816	51.830	63.817	64.458	36.642	49.623	49.957
O4000XBIO	EL	1059.836	981.633	1127.520	1128.265	1183.816	1058.710	930.545	859.935	687.934	700.452	788.107	739.834
O4000XBIO	ES	3527.883	2705.035	2572.827	2742.297	2856.181	2878.043	2976.842	2909.382	2472.953	2330.880	2090.560	2050.334
O4000XBIO	EU27_2020	27351.400	25054.875	24162.444	24690.733	24105.408	22766.800	24444.812	24020.150	23510.391	24602.872	24836.011	24389.093
O4000XBIO	FI	1246.639	1241.362	1219.824	1160.294	1185.064	1167.037	1186.241	1093.188	1003.293	1002.866	1038.197	906.848
O4000XBIO	FR	3167.983	3201.157	3016.689	2896.949	2716.422	2515.463	2462.790	2503.919	2423.558	2409.606	2425.408	2451.774
O4000XBIO	GE	:	68.377	66.074	89.935	83.572	83.164	96.217	103.470	92.798	100.354	117.829	:
O4000XBIO	HR	245.150	271.330	265.567	274.898	275.919	287.953	291.376	254.884	224.387	234.519	263.804	311.045
O4000XBIO	HU	480.630	535.669	568.678	626.650	619.929	664.571	725.236	676.779	712.418	722.382	617.555	570.044
O4000XBIO	IE	335.557	377.431	356.824	312.692	312.197	317.213	336.138	333.568	329.269	339.221	322.554	336.792
O4000XBIO	IS	34.413	43.002	68.444	41.134	44.361	41.065	32.028	22.056	19.609	23.565	19.766	22.067
O4000XBIO	IT	3268.420	2750.743	2235.015	2777.123	2661.159	1954.314	2019.370	1755.827	1753.891	2853.015	3118.923	2871.866
O4000XBIO	LT	43.010	40.091	39.741	38.623	34.654	40.476	38.112	41.624	39.053	38.341	44.923	51.140
O4000XBIO	LU	10.668	13.670	10.000	10.957	8.989	21.362	24.196	31.872	29.290	27.113	21.327	20.334
O4000XBIO	LV	64.635	62.175	55.116	48.073	52.311	55.131	56.278	49.649	50.873	47.825	57.155	69.336
O4000XBIO	MD	29.060	16.599	10.280	11.067	9.119	16.553	40.114	38.216	36.676	31.407	33.984	26.186
O4000XBIO	ME	33.321	61.484	55.830	49.809	47.569	62.150	61.111	64.684	61.082	65.669	58.745	57.172
